lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
12,1,65.0,6,14,2,2,0,0,0,1
1,0,0.0,2,26,4,0,0,3,0,1
2,1,97.54,11,22,4,4,0,0,0,1
5,2,174.0,8,13,4,1,1,0,0,1
117,1,85.0,12,13,4,5,0,0,0,0
15,2,116.2,3,12,4,3,2,0,0,1
28,1,235.5,9,13,4,2,0,0,5,1
110,0,70.0,12,9,3,4,0,0,0,1
0,0,79.0,2,15,2,0,1,0,0,1
17,1,67.0,8,22,2,1,1,0,0,1
122,2,94.35,5,11,4,4,0,3,0,1
14,1,149.33,6,3,4,2,1,0,3,1
13,1,93.8,3,1,4,1,0,0,3,1
28,1,85.6,11,13,3,2,0,0,0,1
38,2,53.97,2,6,4,2,2,3,0,1
50,0,87.84,8,29,3,3,1,0,0,1
12,0,85.0,11,1,4,4,0,0,0,0
18,0,89.0,9,12,4,0,1,3,0,1
0,1,90.0,8,6,4,1,0,3,0,1
0,0,75.0,3,20,3,0,1,0,0,1
29,2,94.5,9,15,4,2,0,0,0,1
259,0,90.0,5,5,4,3,0,0,0,0
10,1,87.78,10,4,4,0,1,3,0,1
418,0,75.0,9,26,3,2,1,0,0,0
12,3,86.4,11,11,4,2,2,0,0,1
39,1,129.6,10,27,4,2,0,0,3,1
9,1,97.0,3,17,4,1,0,3,0,1
22,1,138.0,8,1,4,0,1,0,0,1
156,1,116.82,6,5,4,4,2,0,3,0
36,2,104.0,12,7,4,4,2,0,0,1
17,0,73.92,9,10,4,2,0,3,0,1
198,0,80.75,10,22,3,5,2,0,0,1
80,1,94.6,11,4,4,2,1,0,0,1
113,1,108.0,10,13,4,1,0,3,0,0
172,1,90.95,9,18,3,1,2,0,3,1
130,0,68.0,7,31,4,11,4,0,0,0
36,2,117.9,4,2,4,1,1,0,0,1
13,0,58.0,12,17,3,3,0,0,0,1
2,1,89.0,10,19,2,1,0,0,0,1
16,1,79.0,2,20,4,1,0,3,0,1
443,0,65.0,4,29,3,1,0,0,0,0
207,0,95.0,12,30,3,2,1,0,0,1
59,1,78.35,7,3,4,2,2,3,0,1
64,2,148.5,8,29,4,4,1,0,0,0
118,2,80.1,10,25,4,3,0,3,0,0
176,0,125.1,9,8,3,3,0,0,0,0
37,0,105.0,10,13,3,3,0,0,0,1
5,0,62.8,12,5,3,1,2,0,0,1
65,0,80.75,10,16,3,2,2,0,0,1
97,1,65.42,3,23,4,4,0,0,0,1
1,0,60.0,2,28,3,1,2,0,0,0
207,1,80.75,7,28,4,4,2,3,0,1
183,1,110.0,9,8,4,3,0,0,0,0
4,2,78.0,12,15,4,1,0,3,0,1
13,0,81.0,3,8,4,2,0,3,0,1
187,1,119.85,9,22,4,3,1,0,0,0
86,1,99.3,4,6,4,3,0,0,3,1
32,0,112.59,7,3,4,0,2,3,0,0
19,1,77.25,12,23,4,1,0,0,1,1
2,1,80.0,1,19,4,4,0,3,0,1
175,1,152.15,9,11,4,2,2,1,0,0
5,1,99.0,4,2,4,1,0,3,0,1
284,0,67.5,12,12,4,0,1,3,0,0
228,1,118.9,8,16,4,3,0,0,0,0
26,2,122.0,9,4,4,0,1,0,0,1
224,0,97.75,8,8,3,2,1,1,0,0
54,0,47.43,3,1,4,4,0,3,0,0
70,0,186.3,4,20,4,1,0,0,5,0
54,0,66.5,10,16,3,2,2,0,0,1
107,1,46.63,12,23,4,4,2,0,0,1
433,0,70.0,9,8,3,3,0,0,0,0
132,1,105.3,5,16,4,2,1,0,0,1
155,1,130.5,8,1,4,1,1,0,0,0
14,1,77.78,12,7,4,4,0,3,0,1
292,0,90.0,7,21,3,2,0,1,0,1
129,2,114.3,7,8,4,2,0,0,0,1
71,1,79.2,12,5,4,2,1,3,0,1
130,0,159.3,6,9,4,2,0,0,3,0
63,0,73.3,4,22,4,3,2,0,0,1
129,0,62.0,2,4,3,3,0,0,3,1
150,0,91.12,9,18,4,5,2,0,0,1
2,0,61.38,4,17,3,2,2,0,0,1
145,0,94.5,8,29,3,1,2,1,0,1
19,1,107.0,1,1,4,2,0,0,0,1
32,0,80.08,11,16,4,3,0,0,0,0
174,0,95.67,9,22,3,3,0,0,0,1
105,0,75.0,10,12,3,3,0,0,0,1
0,1,98.6,11,13,4,2,2,0,0,1
95,2,119.85,6,9,4,4,2,0,0,1
63,0,168.3,8,9,4,3,0,0,3,1
47,2,91.8,11,1,4,4,0,0,0,1
4,0,12.0,10,19,4,0,1,0,0,1
118,1,58.9,8,26,4,4,0,0,0,0
180,1,98.1,10,10,4,0,1,3,0,1
6,0,65.0,10,12,2,0,1,0,0,1
3,1,79.0,12,12,2,0,1,0,0,1
71,0,168.3,8,14,4,1,2,0,3,0
6,1,88.35,12,19,4,3,1,0,0,1
143,0,129.6,9,22,4,3,1,0,0,0
98,0,50.33,2,25,3,4,2,0,0,1
32,0,137.52,9,13,4,5,2,0,4,0
5,2,136.0,6,10,4,2,0,0,3,1
177,0,84.39,8,22,4,5,2,3,0,0
242,0,100.3,9,10,4,2,2,0,0,0
108,0,153.9,5,27,3,2,2,0,4,1
89,1,159.3,4,30,4,1,2,0,3,0
196,0,80.75,5,12,3,3,1,0,0,1
119,1,99.3,4,29,4,2,1,0,0,1
69,2,72.25,11,15,4,0,1,0,0,1
30,0,112.58,4,2,4,2,2,3,0,0
215,0,106.25,10,9,4,3,2,0,0,0
208,0,80.75,7,30,4,2,2,3,0,0
15,0,81.0,2,19,2,1,0,0,0,1
74,0,99.45,4,13,4,4,0,0,0,1
0,1,67.5,1,23,4,1,0,3,0,1
6,0,89.0,11,4,4,1,0,0,0,1
56,0,185.0,9,25,3,2,2,0,0,1
13,0,81.7,1,20,4,8,2,0,0,1
153,0,122.91,12,29,4,3,2,0,0,1
165,1,99.45,7,8,4,2,2,0,0,1
93,2,121.5,7,12,4,2,0,0,0,1
36,0,60.0,1,14,3,3,0,0,0,1
52,0,60.0,11,12,3,3,2,0,3,1
9,1,249.0,9,14,4,3,0,0,5,1
44,1,95.0,4,23,3,1,2,0,0,1
111,3,154.5,9,23,4,2,1,0,0,1
9,0,65.0,11,11,2,1,0,0,0,1
164,0,100.0,10,2,3,2,0,0,0,0
1,1,167.0,6,28,4,2,0,0,0,1
28,2,115.23,9,27,4,3,0,0,0,1
257,0,101.5,7,1,4,2,0,1,0,0
71,2,149.4,9,8,4,3,1,0,3,1
0,2,115.0,9,18,4,1,0,3,3,1
6,0,81.0,8,23,4,0,1,3,0,1
2,0,133.0,9,23,4,2,0,3,0,1
0,1,85.86,8,1,4,1,1,0,0,1
85,1,85.0,10,6,3,3,1,0,0,1
14,0,75.0,11,18,3,2,1,0,0,1
7,2,131.0,4,23,4,1,1,0,0,1
260,2,100.3,10,7,4,4,2,0,0,0
60,0,60.0,10,12,3,3,1,0,0,1
159,1,70.0,4,9,3,1,1,0,0,1
143,2,129.6,9,21,4,4,1,0,0,0
42,1,80.3,1,16,4,1,0,0,0,1
35,1,175.5,10,15,4,1,1,0,3,1
26,0,120.0,6,8,3,1,0,0,0,1
4,0,68.0,7,16,3,2,2,0,0,0
155,0,186.3,8,16,4,2,0,0,5,0
111,0,76.5,8,3,4,4,1,0,0,1
87,0,97.71,6,9,4,3,0,0,0,0
81,1,152.55,12,7,4,4,0,1,0,1
73,0,67.83,11,24,3,3,0,0,0,1
4,1,72.0,3,23,3,1,0,0,0,1
13,1,75.0,11,29,2,2,0,0,0,1
68,1,116.1,6,19,4,0,1,3,0,1
86,0,87.5,9,24,3,2,0,0,0,1
2,3,123.5,8,21,4,2,0,0,0,1
43,3,96.3,10,29,4,3,0,0,0,1
17,3,141.0,6,13,4,3,1,0,3,1
118,0,110.0,6,6,3,1,1,0,0,1
112,0,99.45,4,27,4,4,0,0,3,0
122,0,109.65,6,11,4,2,2,3,0,1
22,3,122.5,9,4,4,4,2,0,0,1
71,1,108.0,10,18,4,3,0,3,0,1
15,0,86.0,2,18,3,3,0,0,0,1
82,1,85.5,4,8,4,2,0,3,0,1
69,1,173.0,11,7,4,3,1,3,0,0
40,0,96.3,10,11,3,3,0,0,3,1
80,0,89.75,5,16,3,1,1,0,0,1
25,1,65.0,9,5,2,0,1,0,0,1
104,1,108.0,10,9,4,0,1,3,0,0
1,0,65.0,11,4,2,1,0,0,0,1
5,2,77.25,12,19,4,1,0,0,1,1
19,0,130.0,5,2,4,2,1,0,0,1
90,0,80.75,5,1,3,0,2,0,0,1
275,0,110.0,4,17,3,0,2,1,0,0
4,1,133.98,11,20,4,0,1,0,5,1
6,0,65.0,8,8,2,0,1,0,0,0
99,0,81.0,2,19,2,1,0,0,0,1
1,2,138.0,8,16,4,1,2,0,0,1
0,1,150.0,8,17,4,1,0,0,0,1
296,0,96.0,9,21,3,4,0,1,0,1
150,0,101.0,1,2,3,1,2,1,0,1
22,1,118.58,11,17,4,3,0,0,3,1
4,0,75.0,8,11,2,2,0,0,0,1
12,0,95.0,10,12,2,3,1,0,0,1
142,1,96.3,7,4,4,0,1,0,0,1
79,0,96.3,3,21,4,2,1,0,3,1
67,0,106.25,7,10,3,3,2,0,0,1
91,1,105.4,6,1,3,3,0,0,0,1
58,0,81.0,1,27,3,2,0,0,0,1
198,0,90.0,9,9,3,2,1,0,0,0
154,1,118.8,10,6,4,2,0,0,0,0
41,0,76.5,8,28,3,1,2,0,0,1
45,0,68.0,11,13,3,4,2,0,3,1
15,0,99.0,9,12,4,0,1,0,0,0
106,1,91.89,7,13,3,3,0,0,0,1
96,0,94.5,7,11,3,1,2,1,0,1
56,0,88.4,12,26,4,3,1,3,0,0
101,3,87.67,6,8,4,4,0,0,0,1
131,0,108.0,10,10,4,0,1,3,0,0
239,0,112.2,6,15,3,2,0,1,0,0
5,1,81.0,2,26,4,2,0,3,0,1
98,0,91.4,12,26,4,3,1,0,0,0
45,1,207.9,9,15,4,3,0,0,5,0
137,1,90.0,11,15,4,2,0,0,0,0
88,0,90.6,10,5,3,1,1,1,0,1
10,1,65.0,6,27,2,0,1,0,0,1
40,0,85.0,10,24,3,2,1,0,0,1
89,1,183.73,7,7,4,5,2,0,5,1
11,1,130.0,11,5,4,1,0,0,0,0
102,0,101.5,10,16,4,2,0,1,0,0
60,0,204.0,11,7,4,2,1,3,4,0
161,0,91.38,7,31,4,2,2,3,0,0
76,1,159.3,5,12,4,3,0,0,0,1
22,0,75.0,10,13,3,3,0,0,3,1
3,1,112.5,4,2,4,2,2,0,0,1
92,2,135.15,5,15,4,2,2,0,0,1
11,3,138.71,10,23,4,5,2,0,3,1
266,2,69.36,12,4,3,1,2,1,3,1
386,1,115.0,10,23,4,0,2,1,0,0
21,1,58.0,12,25,3,3,2,0,0,1
67,0,139.5,7,12,4,4,0,0,3,1
221,0,65.0,10,10,3,1,2,0,0,1
179,1,97.7,6,3,4,2,0,0,3,1
112,0,120.0,6,2,3,3,0,0,0,0
32,2,140.0,10,6,4,3,1,0,3,1
42,2,174.25,11,7,4,2,1,0,0,1
31,0,116.1,3,26,4,1,1,3,0,0
51,1,92.82,3,16,4,4,0,0,0,1
10,2,171.33,9,18,4,1,2,0,0,1
1,1,65.0,1,7,2,1,0,0,0,1
4,1,0.0,8,23,1,1,2,0,0,1
78,1,177.3,9,18,4,1,2,0,3,1
219,0,76.67,9,4,3,2,1,0,0,1
162,1,95.25,5,4,3,4,0,0,0,1
1,0,103.0,3,8,4,2,0,0,0,1
103,0,94.5,7,18,3,1,2,1,0,1
0,2,114.0,9,30,4,1,0,3,0,1
17,0,75.0,3,9,2,1,0,0,3,1
338,1,45.33,10,7,3,2,1,0,0,1
3,0,99.0,8,17,2,3,1,0,0,0
82,2,122.76,11,4,4,3,2,0,0,1
95,1,118.8,7,14,4,4,2,0,3,1
276,0,95.67,9,22,3,3,0,0,0,1
165,2,99.45,7,21,4,3,2,0,0,1
9,2,190.5,9,24,4,3,1,0,0,1
8,1,91.0,6,23,4,1,0,0,0,1
20,0,67.0,10,13,2,1,0,0,0,1
121,0,90.0,6,24,3,2,1,0,0,0
189,3,96.3,10,28,4,2,1,0,0,1
161,0,130.0,3,25,3,2,1,1,0,0
4,1,153.0,8,27,4,1,0,0,5,1
59,0,85.0,7,18,3,1,1,0,0,1
1,0,65.0,3,1,2,1,0,0,0,1
